"Group","Hypothesis","Estimate","Est.Error","CI.Lower","CI.Upper","Evid.Ratio","Post.Prob","Star","effect","training_size"
"babyLlama_2_10M — 10M","(-pluralitySingular) > 0",0.765770938921279,0.22361128211355,0.3214164085,1.197462467,1427.57142857143,0.9993,"*","Regular
 plural","10M"
"distill_tree__360_10M — 10M","(-pluralitySingular) > 0",0.79376616849423,0.221785268448532,0.35134149605,1.22731328875,1817.18181818182,0.99945,"*","Regular
 plural","10M"
"distill_tree__58_10M — 10M","(-pluralitySingular) > 0",0.792182773606506,0.223023286470734,0.34490673675,1.2259158,2499,0.9996,"*","Regular
 plural","10M"
"distill_tree__95_10M — 10M","(-pluralitySingular) > 0",0.851175201438776,0.220627476062039,0.4049585295,1.2788138345,3635.36363636364,0.999725,"*","Regular
 plural","10M"
"gpt_2_10M — 10M","(-pluralitySingular) > 0",1.10736519004143,0.224893134396313,0.667631782375,1.5526387355,Inf,1,"*","Regular
 plural","10M"
"gpt_bert_10M_causal — 10M","(-pluralitySingular) > 0",1.19356008932747,0.228599085694177,0.742115758525,1.63887948325,Inf,1,"*","Regular
 plural","10M"
"gpt_bert_10M_masked — 10M","(-pluralitySingular) > 0",1.05754359410892,0.22087899754064,0.623546394115,1.49205155445,Inf,1,"*","Regular
 plural","10M"
"gpt_bert_10M_mixed — 10M","(-pluralitySingular) > 0",1.08589315093289,0.222428608575823,0.6549384182,1.52705495725,Inf,1,"*","Regular
 plural","10M"
"gpt_wee_large — 10M","(-pluralitySingular) > 0",0.815859228420342,0.22421977074763,0.36350649205,1.247558625025,2856.14285714286,0.99965,"*","Regular
 plural","10M"
"gpt_wee_medium — 10M","(-pluralitySingular) > 0",0.720226564446274,0.226283628908285,0.2671869795,1.158284255675,713.285714285714,0.9986,"*","Regular
 plural","10M"
"gpt_wee_small — 10M","(-pluralitySingular) > 0",0.770877654644036,0.226110080364223,0.3152173075,1.204681811975,1051.63157894737,0.99905,"*","Regular
 plural","10M"
"MOEP — 10M","(-pluralitySingular) > 0",1.03027856268902,0.229460498517355,0.58133333965,1.48618703725,Inf,1,"*","Regular
 plural","10M"
"MOP — 10M","(-pluralitySingular) > 0",1.05536867546937,0.234734592437195,0.6002671474,1.5292120315,39999,0.999975,"*","Regular
 plural","10M"
"OPT_10M — 10M","(-pluralitySingular) > 0",1.54631941620452,0.261003153940257,1.030703413,2.05807959975,Inf,1,"*","Regular
 plural","10M"
"what_if_baseline — 10M","(-pluralitySingular) > 0",0.889503336447407,0.235825418514577,0.410606486,1.339064577175,4999,0.9998,"*","Regular
 plural","10M"
"ZLATA — 10M","(-pluralitySingular) > 0",0.837237116767397,0.223843595302948,0.386068088,1.26345182075,3075.92307692308,0.999675,"*","Regular
 plural","10M"
"babyLlama_10M — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.185705481269925,0.231708594740863,-0.271026797175,0.643314359475,3.81637567730283,0.792375,"","Irregular
 plural","10M"
"babyLlama_2_10M — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.0441685630799786,0.236152063239284,-0.431787654475,0.49931180705,1.3872045834328,0.5811,"","Irregular
 plural","10M"
"distill_tree__360_10M — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.0828743166424654,0.232766815445409,-0.38137994951,0.5336120006625,1.81789362451567,0.645125,"","Irregular
 plural","10M"
"distill_tree__58_10M — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.0806501511633982,0.233616938198732,-0.38762852475925,0.534943375475,1.78881684445374,0.641425,"","Irregular
 plural","10M"
"distill_tree__95_10M — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.137849152014966,0.233187947492151,-0.33334508225,0.58806298475,2.67985280588776,0.72825,"","Irregular
 plural","10M"
"gpt_2_10M — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.399825955463044,0.234874094165933,-0.0594963101750001,0.8658444965175,22.028209556707,0.956575,"","Irregular
 plural","10M"
"gpt_bert_10M_causal — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.48695632510817,0.239452663372144,0.0143384745854999,0.957836353496,45.189376443418,0.97835,"*","Irregular
 plural","10M"
"gpt_bert_10M_masked — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.355062992713066,0.232492027488867,-0.10072073850225,0.81630187315,14.8604282315623,0.93695,"","Irregular
 plural","10M"
"gpt_bert_10M_mixed — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.387990978597769,0.232859814737297,-0.0671538239000001,0.851988968625,20.5866162978953,0.953675,"","Irregular
 plural","10M"
"gpt_wee_large — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.109906654650808,0.234164175374226,-0.35633735825,0.568516689515,2.19284802043423,0.6868,"","Irregular
 plural","10M"
"gpt_wee_medium — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.0337730858272957,0.236163053445465,-0.434554900995,0.494020469558301,1.27596017069701,0.560625,"","Irregular
 plural","10M"
"gpt_wee_small — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.0893335452840261,0.237662393572037,-0.38470475485,0.556609318975,1.86944045911047,0.6515,"","Irregular
 plural","10M"
"MOEP — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.348758159726281,0.24190898764519,-0.1238656834,0.83446348713,13.1292829388909,0.929225,"","Irregular
 plural","10M"
"MOP — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.363866506534302,0.245467181478546,-0.1080231001175,0.856306788625,14.4619250096637,0.935325,"","Irregular
 plural","10M"
"OPT_10M — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.862919125982335,0.266377882814237,0.3434912656325,1.391112311675,1599,0.999375,"*","Irregular
 plural","10M"
"what_if_baseline — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.190511800529988,0.245938702258457,-0.300658513725,0.6675536979,3.6189376443418,0.7835,"","Irregular
 plural","10M"
"ZLATA — 10M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.139997024693516,0.233820231450078,-0.325091312125,0.593696585522501,2.70919881305638,0.7304,"","Irregular
 plural","10M"
"babbles — 100M","(regularityIrregular:pluralitySingular) > 0",0.703369863058409,0.199443225153033,0.31148908586475,1.101928740925,1332.33333333333,0.99925,"*","Regularity
 ×
 Plurality","100M"
"babyLlama_100M — 100M","(regularityIrregular:pluralitySingular) > 0",0.690154524612233,0.201000862753863,0.2901330855695,1.08408398005,1024.64102564103,0.999025,"*","Regularity
 ×
 Plurality","100M"
"CLASS_IT — 100M","(regularityIrregular:pluralitySingular) > 0",0.6696849310362,0.20307907256923,0.2538252631525,1.05883230567,486.80487804878,0.99795,"*","Regularity
 ×
 Plurality","100M"
"gpt_2_100M — 100M","(regularityIrregular:pluralitySingular) > 0",0.686470224409242,0.198697938944054,0.28817872275,1.07277272455,1051.63157894737,0.99905,"*","Regularity
 ×
 Plurality","100M"
"gpt_bert_100M_causal — 100M","(regularityIrregular:pluralitySingular) > 0",0.708099458857112,0.205533160658228,0.30870572775,1.11974009525,1051.63157894737,0.99905,"*","Regularity
 ×
 Plurality","100M"
"gpt_bert_100M_masked — 100M","(regularityIrregular:pluralitySingular) > 0",0.706807849172102,0.196390270448742,0.32289082924425,1.100093354,2104.26315789474,0.999525,"*","Regularity
 ×
 Plurality","100M"
"gpt_bert_100M_mixed — 100M","(regularityIrregular:pluralitySingular) > 0",0.727803473007738,0.201288195669088,0.340785883625,1.138382147,4443.44444444444,0.999775,"*","Regularity
 ×
 Plurality","100M"
"OPT_100M — 100M","(regularityIrregular:pluralitySingular) > 0",0.692678970811476,0.201529373519103,0.29000624975,1.08783298875,1175.47058823529,0.99915,"*","Regularity
 ×
 Plurality","100M"
"babbles — 100M","(-pluralitySingular) > 0",1.06955373699843,0.303958531934297,0.452075891475,1.6483333842,1427.57142857143,0.9993,"*","Regular
 plural","100M"
"babyLlama_100M — 100M","(-pluralitySingular) > 0",1.03602602534723,0.304885180251181,0.423231860175,1.619126473075,929.232558139535,0.998925,"*","Regular
 plural","100M"
"CLASS_IT — 100M","(-pluralitySingular) > 0",1.0346370653836,0.305750874801772,0.4159804666,1.6196994380045,726.272727272727,0.998625,"*","Regular
 plural","100M"
"gpt_2_100M — 100M","(-pluralitySingular) > 0",1.2573587089018,0.309589549953042,0.65804686675,1.8712422005,13332.3333333333,0.999925,"*","Regular
 plural","100M"
"gpt_bert_100M_causal — 100M","(-pluralitySingular) > 0",1.23049764226821,0.306290831476713,0.63080968822195,1.8357803925,9999,0.9999,"*","Regular
 plural","100M"
"gpt_bert_100M_masked — 100M","(-pluralitySingular) > 0",1.23013681669223,0.303687905906237,0.639370619525,1.83412646,6665.66666666667,0.99985,"*","Regular
 plural","100M"
"gpt_bert_100M_mixed — 100M","(-pluralitySingular) > 0",1.19133503737012,0.299355698999127,0.6007385101,1.7788330905,4443.44444444444,0.999775,"*","Regular
 plural","100M"
"OPT_100M — 100M","(-pluralitySingular) > 0",1.04060716087364,0.304608274807938,0.431223427425,1.624934054665,1051.63157894737,0.99905,"*","Regular
 plural","100M"
"babbles — 100M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.366183873940026,0.321147989023565,-0.28726111645,0.98020011644,6.94438927507448,0.874125,"","Irregular
 plural","100M"
"babyLlama_100M — 100M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.345871500734994,0.322009155780445,-0.3065227274,0.9657165345925,6.19683339330695,0.86105,"","Irregular
 plural","100M"
"CLASS_IT — 100M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.364952134347403,0.322163941727945,-0.28273341675,0.9870464778075,6.77453838678329,0.871375,"","Irregular
 plural","100M"
"gpt_2_100M — 100M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.57088848449256,0.325169690443309,-0.0653107029199999,1.217442907375,25.4026402640264,0.962125,"","Irregular
 plural","100M"
"gpt_bert_100M_causal — 100M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.522398183411102,0.324562846689111,-0.117459454675,1.1657111358,17.4416781927155,0.945775,"","Irregular
 plural","100M"
"gpt_bert_100M_masked — 100M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.523328967520124,0.319331779167123,-0.103847489475,1.154142532245,18.8019801980198,0.9495,"","Irregular
 plural","100M"
"gpt_bert_100M_mixed — 100M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.463531564362381,0.319096583921018,-0.1709110653425,1.087876752425,12.7504297009282,0.927275,"","Irregular
 plural","100M"
"OPT_100M — 100M","(-(pluralitySingular+regularityIrregular:pluralitySingular)) > 0",0.347928190062169,0.322912415624122,-0.30016608375,0.97265899525,6.21630885801912,0.861425,"","Irregular
 plural","100M"
